image_filename,pair_id,question_type,question_bn,answer_bn,infographic_type,cross_section,reads_bn,strategy,source_id
PA_0032.png,lookup1,lookup,ব্যাংক খাতে জুনে মোট কর্মী সংখ্যা কত ছিল?,"৩৫,৭৮২ জন",composite,False,"ব্যাংক খাত: জুনে ছিল ৩৫,৭৮২ জন",,
PA_0032.png,lookup2,lookup,২০২৫ সালে মোট কর্মীর মধ্যে পুরুষ কর্মীর শতকরা হার কত?,৮৩.৫%,composite,False,পুরুষ ৮৩.৫%,,
PA_0032.png,multi1,multi_step_lookup,ব্যাংকের ধরন অনুযায়ী নারী কর্মীর সংখ্যার ভিত্তিতে দ্বিতীয় সর্বোচ্চ অবস্থানে কোন ধরনের ব্যাংক আছে?,রাষ্ট্রমালিকানাধীন ব্যাংক,composite,False,"বেসরকারি ব্যাংক ২২,৯৮৩ জন, রাষ্ট্রমালিকানাধীন ব্যাংক ৯,১৪৭ জন, বিশেষায়িত ব্যাংক ১,৯৪৭ জন, বিদেশি ব্যাংক ৯৮৪ জন",filter_rank,
PA_0032.png,multi2,multi_step_lookup,ব্যাংকে কর্মীর স্তরভিত্তিক নারী কর্মীর হারের মধ্যে সর্বনিম্ন হার কোন পর্যায়ে?,উচ্চপর্যায় বা নীতিনির্ধারণী পর্যায়,composite,False,"উচ্চপর্যায় ১০.৩৫%, মধ্যবর্তী পর্যায় ১৬.১৯%, প্রারম্ভিক পর্যায় ১৭.০৭%",filter_rank,
PA_0032.png,reasoning1,reasoning,ব্যাংক খাতে জুন থেকে ডিসেম্বরে কর্মী সংখ্যা শতকরা কত কমেছে?,২.০১%,composite,False,"৩৫,৭৮২ জন (জুন) ও ৩৫,০৬১ জন (ডিসেম্বর), হ্রাস ৭২১ জন, শতকরা হ্রাস = (৭২১÷৩৫,৭৮২)×১০০",,
PA_0032.png,unanswerable1,unanswerable,২০২৫ সালে ব্যাংকে নারী কর্মীদের মধ্যে সর্বাধিক শিক্ষাগত যোগ্যতা কী ছিল?,তথ্য নেই,composite,False,none,,
PA_0032.png,mcq1,mcq,"ব্যাংকের ধরন অনুযায়ী নারী কর্মীর সংখ্যার ভিত্তিতে দ্বিতীয় সর্বোচ্চ অবস্থানে কোন ধরনের ব্যাংক আছে?
ক) বেসরকারি ব্যাংক
খ) রাষ্ট্রমালিকানাধীন ব্যাংক
গ) বিশেষায়িত ব্যাংক
ঘ) বিদেশি ব্যাংক",খ) রাষ্ট্রমালিকানাধীন ব্যাংক,composite,False,"বেসরকারি ব্যাংক ২২,৯৮৩ জন, রাষ্ট্রমালিকানাধীন ব্যাংক ৯,১৪৭ জন, বিশেষায়িত ব্যাংক ১,৯৪৭ জন, বিদেশি ব্যাংক ৯৮৪ জন",filter_rank,multi1
PA_0027.png,L1,lookup,নতুন বিদেশি বিনিয়োগের চার্ট অনুযায়ী ২০২৩-২৪ অর্থবছরে বিনিয়োগের পরিমাণ কত কোটি ডলার?,৬৭ কোটি ডলার,composite,False,"৬৭ কোটি ডলার (নতুন বিদেশি বিনিয়োগ, ২০২৩-২৪), নিকটবর্তী মান ৭১ কোটি ডলার (২০২২-২৩)",,
PA_0027.png,M1,multi_step_lookup,আঞ্চলিক প্রতিযোগিতায় বিনিয়োগের পরিমাণ অনুযায়ী দ্বিতীয় সর্বোচ্চ অবস্থানে কোন দেশ আছে?,ভিয়েতনাম,composite,False,"ভারত ২৭.১৩, ভিয়েতনাম ২০.১৭, পাকিস্তান ২.৬৬, বাংলাদেশ ১.৫৩ বিলিয়ন ডলার (মান অনুযায়ী র‍্যাঙ্কিং)",filter_rank,
PA_0027.png,M2,multi_step_lookup,নতুন বিদেশি বিনিয়োগের চার্টে সর্বনিম্ন বিনিয়োগ কোন অর্থবছরে হয়েছে?,২০২৪-২৫,composite,False,"৭৩, ১১৪, ৭১, ৬৭, ৫৫ কোটি ডলার (বছরভিত্তিক তুলনা, সর্বনিম্ন মান ৫৫)",filter_rank,
